Gender,Expertise,Ages,Level1,Level2,Level3,Subs,Annual_income,Job_status,Commitment,Time,State,Platform,Device,Completed,Churn,Time counts
Female,beginner,34,315,180,NaN,monthly,67624,employed,medium,00:00-06:00,Active,android,phone,495,medium,4
Female,beginner,35,106,NaN,NaN,monthly,45968,other,low,06:00-12:00,Active,android,laptop,106,high,1
Female,beginner,38,327,300,319,annual,51810,unemployed,high,12:00-18:00,Active,ios,tablet,946,low,4
Female,beginner,31,302,319,240,monthly,59311,employed,high,00:00-06:00,Active,ios,tablet,861,low,2
Female,beginner,32,329,121,NaN,annual,67741,self_employed,medium,00:00-06:00,Active,android,other,450,medium,4
Female,beginner,29,295,240,NaN,annual,19487,self_employed,medium,12:00-18:00,Active,ios,laptop,535,medium,2
Female,beginner,36,331,NaN,NaN,monthly,38120,employed,low,00:00-06:00,Inactive,android,other,331,high,1
Female,beginner,27,275,NaN,NaN,monthly,51164,other,low,18:00-00:00,Active,ios,other,275,high,1
Female,beginner,28,283,62,NaN,monthly,24080,other,medium,00:00-06:00,Active,ios,laptop,345,medium,4
Female,beginner,38,131,NaN,NaN,annual,58580,other,low,18:00-00:00,Inactive,ios,phone,131,high,1
Female,beginner,38,280,NaN,NaN,monthly,28739,self_employed,low,12:00-18:00,Active,ios,phone,280,high,1
Female,beginner,32,329,301,89,monthly,49411,employed,high,12:00-18:00,Active,ios,laptop,719,low,2
Female,beginner,37,290,319,286,monthly,52052,other,high,06:00-12:00,Active,android,other,895,low,4
Female,beginner,34,317,245,NaN,monthly,61872,self_employed,medium,00:00-06:00,Active,android,laptop,562,medium,4
Female,beginner,33,300,313,NaN,annual,34259,other,medium,06:00-12:00,Active,android,phone,613,medium,4
Female,beginner,38,137,NaN,NaN,annual,28073,employed,low,12:00-18:00,Active,android,phone,137,high,1
Female,beginner,38,324,323,325,annual,60704,employed,high,18:00-00:00,Active,ios,other,972,low,2
Female,beginner,29,64,NaN,NaN,monthly,25473,employed,low,06:00-12:00,Inactive,ios,phone,64,high,1
Female,beginner,29,314,NaN,NaN,monthly,33459,employed,low,00:00-06:00,Active,android,tablet,314,high,1
Female,beginner,36,325,137,NaN,annual,61028,employed,medium,12:00-18:00,Active,android,laptop,462,medium,2
Female,beginner,31,62,NaN,NaN,annual,30442,other,low,06:00-12:00,Active,android,phone,62,high,1
Female,beginner,34,198,NaN,NaN,annual,54470,self_employed,low,06:00-12:00,Inactive,ios,phone,198,high,1
Female,beginner,33,83,NaN,NaN,annual,20683,other,low,06:00-12:00,Inactive,android,phone,83,high,1
Female,beginner,26,282,272,NaN,annual,51962,unemployed,medium,00:00-06:00,Active,android,phone,554,medium,3
Female,beginner,31,132,NaN,NaN,annual,19815,unemployed,low,06:00-12:00,Active,ios,phone,132,high,1
Female,beginner,31,227,NaN,NaN,annual,31855,employed,low,12:00-18:00,Inactive,ios,phone,227,high,1
Female,beginner,37,304,35,NaN,monthly,45134,other,medium,00:00-06:00,Active,ios,phone,339,medium,2
